date,points,fgp,result
2010-12-03,20,.357,L (-12)
2010-12-05,12,.500,W (+5)
2010-12-06,13,.250,L (-9)
2010-12-08,6,.250,W (+8)
2010-12-10,8,.429,W (+5)
2010-12-12,19,.750,W (+29)
2010-12-15,16,.714,W (+12)
2010-12-17,11,.300,W (+15)
2010-12-19,11,.333,L (-3)
2010-12-21,13,.625,W (+18)
2010-12-22,13,.375,L (-14)
2010-12-25,21,.545,W (+8)
2010-12-27,18,.556,L (-10)
2010-12-29,11,.455,W (+21)
2010-12-31,15,.833,W (+9)
2011-01-01,12,.364,L (-27)
2011-01-04,17,.857,L (-5)
2011-01-06,7,.167,W (+4)
2011-01-08,9,.333,W (+9)
2011-01-12,8,.000,W (+6)
2011-01-13,8,.429,W (+1)
2011-01-17,9,.364,L (-7)
2011-01-19,4,.400,L (-5)
2011-01-22,7,.300,W (+3)
2011-01-24,5,.333,L (-2)
2011-01-26,13,.375,W (+1)
2011-01-28,8,.333,W (+7)
2011-01-30,5,.333,L (-5)
2011-02-02,7,.500,W (+11)
2011-02-04,13,.364,W (+4)
2011-02-05,14,.556,W (+16)
2011-02-08,13,.333,L (-4)
2011-02-12,11,.333,W (+2)
2011-02-13,8,.667,L (-6)
2011-02-15,12,.500,W (+30)
2011-02-22,19,.500,W (+23)
2011-02-23,16,.556,L (-4)
2011-02-25,16,.385,L (-23)
2011-02-27,14,.545,L (-3)
2011-03-02,20,.429,W (+24)
2011-03-04,17,.438,W (+7)
2011-03-06,26,.667,W (+4)
2011-03-07,16,.636,L (-6)
2011-03-09,11,.300,W (+5)
2011-03-11,22,.636,W (+10)
2011-03-13,16,.500,W (+20)
2011-03-14,16,.545,W (+27)
2011-03-16,12,.333,W (+11)
2011-03-18,21,.615,W (+17)
2011-03-20,23,.556,L (-2)
2011-03-23,11,.333,W (+12)
2011-03-25,13,.364,W (+8)
2011-03-27,8,.250,W (+9)
2011-03-29,14,.500,W (+1)
2011-03-30,22,.778,W (+18)
2011-04-01,21,.400,L (-7)
2011-04-02,14,.273,L (-6)
2011-04-05,13,.333,W (+7)
2011-04-06,7,.333,W (+4)
2011-04-08,14,.625,W (+15)
2011-04-10,16,.333,W (+14)
2011-04-11,12,.429,W (+8)
2011-04-13,12,.417,L (-4)
2011-12-25,19,.364,W (+8)
2011-12-26,16,.556,W (+4)
2011-12-28,20,.455,W (+3)
2011-12-29,15,.500,W (+2)
